event_id,ticker,company,dividend_per_share,currency,dividend_type,qualification_date,payment_date,closure_date,announcement_date,registrar,status,source_url,source_title,last_verified,confidence
d979bdf2f26e852d,UACN,UAC OF NIGERIA PLC.-EARNINGS RELEASE CORPORATE ACTIONS JULY 2026,1.0,NGN,distribution,2026-06-11,2026-06-26,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47626_UAC__OF_NIGERIA_PLC.-EARNINGS_RELEASE_CORPORATE_ACTIONS_JULY_2026.pdf,UAC OF NIGERIA PLC.-EARNINGS RELEASE CORPORATE ACTIONS JULY 2026,2026-09-01,high
bb718038acef8db3,NIDF,NIDF Q2 2026 Distribution Announcement,4.4,NGN,distribution,2026-07-17,2026-07-27,2026-07-20,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/NIDF_Q2_2026_Distribution_Announcement.pdf,NIDF Q2 2026 Distribution Announcement,2026-09-01,high
4608166174528bb5,GUINNESS,GUINNESS NIG PLC-GUINNESS NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,7.0,NGN,interim,2026-07-29,2026-08-10,,,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47520_GUINNESS_NIG_PLC-GUINNESS_NIGERIA_PLC_-_INTERIM_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,GUINNESS NIG PLC-GUINNESS NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
f30fdb1ec4fe8811,NGXGROUP,NIGERIAN EXCHANGE GROUP PLC-INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,1.3,NGN,interim,2026-07-29,2026-08-05,2026-07-30,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47549_NIGERIAN_EXCHANGE_GROUP_PLC-INTERIM_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,NIGERIAN EXCHANGE GROUP PLC-INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
5a32268064ef8f2a,UNILEVER,UNILEVER NIGERIA PLC.-UNILEVER NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,0.02,NGN,interim,2026-07-31,2026-08-14,,2026-07-21,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47501_UNILEVER_NIGERIA_PLC.-UNILEVER_NIGERIA_PLC_-_INTERIM_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,UNILEVER NIGERIA PLC.-UNILEVER NIGERIA PLC - INTERIM DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
2d57241d247f1cfb,VFDGROUP,VFD GROUP PLC,0.24,NGN,interim,2026-08-03,2026-08-10,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47740_VFD_GROUP_PLC-CORPORATE_ACTIONS_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,VFD GROUP PLC-CORPORATE ACTIONS ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-08-31,high
4ab8d7771648b26a,IKEJAHOTEL,IKEJA HOTEL PLC-IKEJA HOTEL PLC,0.03,NGN,interim,2026-08-07,2026-09-04,,,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47530_IKEJA_HOTEL_PLC-IKEJA_HOTEL_PLC_-_DIVIDEND_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,IKEJA HOTEL PLC-IKEJA HOTEL PLC - DIVIDEND ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
4268ce12e9be89c3,PRESCO,PRESCO PLC,10.0,NGN,interim,2026-08-14,2026-08-27,,2026-07-29,,proposed,"https://doclib.ngxgroup.com/Financial_NewsDocs/47603_PRESCO_PLC-CORPORATE_ACTION_ANNOUNCEMENT_-Q2,_2026_INTERIM_DIVIDENDS_CORPORATE_ACTIONS_JULY_2026.pdf","PRESCO PLC-CORPORATE ACTION ANNOUNCEMENT -Q2, 2026 INTERIM DIVIDENDS CORPORATE ACTIONS JULY 2026",2026-08-30,high
4abd41a11fca67b7,MTNN,MTN NIGERIA COMMUNICATIONS PLC - NGX NOTIFICATION MTN NIGERIA INTERIM DIVIDEND NO 36,26.0,NGN,interim,2026-08-20,2026-09-07,,2026-06-30,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47694_MTN_NIGERIA_COMMUNICATIONS_PLC-NGX_NOTIFICATION_MTN_NIGERIA_INTERIM_DIVIDEND_NO_36_CORPORATE_ACTIONS_JULY_2026.pdf,MTN NIGERIA COMMUNICATIONS PLC - NGX NOTIFICATION MTN NIGERIA INTERIM DIVIDEND NO 36,2026-08-30,high
53c0cb0b3eb50dde,REDSTAREX,RED STAR EXPRESS PLC,0.45,NGN,final,2026-09-01,2026-09-18,,,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47353_RED_STAR_EXPRESS_PLC-CORPORATE_ACTION_CORPORATE_ACTIONS_JULY_2026.pdf,RED STAR EXPRESS PLC-CORPORATE ACTION CORPORATE ACTIONS JULY 2026,2026-09-01,high
64f921f91494cb59,LEARNAFRCA,LEARN AFRICA PLC- NOTICES OF ANNUAL GENERAL MEETING (AGM),0.35,NGN,dividend,2026-09-11,2026-09-25,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47811_LEARN_AFRICA_PLC-_NOTICES_OF_ANNUAL_GENERAL_MEETING_(AGM)_-__ANNUAL_GENERAL_MEETING_(AGM)_AUGUST_2026.pdf,LEARN AFRICA PLC- NOTICES OF ANNUAL GENERAL MEETING (AGM) - ANNUAL GENERAL MEETING (AGM) AUGUST 2026,2026-09-01,high
4aa74bc6476886bf,LEARNAFRCA,LEARN AFRICA PLC,0.35,NGN,final,2026-09-11,2026-09-11,,,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47337_LEARN_AFRICA_PLC-CORPORATE_ACTION_ANNOUNCEMENT_CORPORATE_ACTIONS_JULY_2026.pdf,LEARN AFRICA PLC-CORPORATE ACTION ANNOUNCEMENT CORPORATE ACTIONS JULY 2026,2026-09-01,high
b0a1795c72812633,PZ,P Z CUSSONS NIGERIA PLC.-Q4 2026 FINANCIAL YEAR EARNINGS RESULT CORPORATE ACTIONS JULY 2026,2.5,NGN,distribution,2026-10-09,2026-10-30,,2026-05-31,,declared,https://doclib.ngxgroup.com/Financial_NewsDocs/47374_P_Z_CUSSONS_NIGERIA_PLC.-Q4_2026_FINANCIAL_YEAR_EARNINGS_RESULT_CORPORATE_ACTIONS_JULY_2026.pdf,P Z CUSSONS NIGERIA PLC.-Q4 2026 FINANCIAL YEAR EARNINGS RESULT CORPORATE ACTIONS JULY 2026,2026-09-01,high
5f9fc53fbdf8e5e6,PZ,P Z CUSSONS NIGERIA PLC.-FY26 AUDITED RESULTS ANNOUNCEMENT CORPORATE ACTIONS AUGUST 2026,2.5,NGN,final,2026-10-09,2026-10-30,,2026-05-31,,proposed,https://doclib.ngxgroup.com/Financial_NewsDocs/47864_P_Z_CUSSONS_NIGERIA_PLC.-FY26_AUDITED_RESULTS_ANNOUNCEMENT_CORPORATE_ACTIONS_AUGUST_2026.pdf,P Z CUSSONS NIGERIA PLC.-FY26 AUDITED RESULTS ANNOUNCEMENT CORPORATE ACTIONS AUGUST 2026,2026-09-01,high
